Killed/Insane Investigators	Getötete/Wahnsinnige Ermittler
Lasting Effects	Andauernde Effekte
Lead Investigator	Ermittlungsleiter
Leaves Play	Das Spiel verlassen
Limbo	Limbus
Limit once per turn	Nur ein Mal pro Zug.
Limits and Maximums	Beschränkung und Maximum
Location Cards	Ortskarten
Lola and Roles	Lola und die „Rollen“
Lunatic	Wahnsinniger
Madness	Wahnsinn
Massive	Gewaltig
Max once per location	Max. ein Mal pro Ort
May	Dürfen
Melee	Nahkampf
Modifiers	Modifikatoren
Monster	Monster
Move	Bewegen
Move Action	Bewegen (Aktion)
Mulligan	Mulligan
Multi-class Cards	Multi-Klassen-Karten
Must	Müssen
Myriad	Unzählig
Mystery	Mysterium
Mythos Phase	Mythosphase
Nearest	Nächstgelegen
Nested Sequences	Eingebettete Sequenzen
Nested Skill Tests	Eingebettete Fertigkeitsproben
Northside	Nordviertel
Objective	Ermittlungsziel
Obstacle	Hindernis
Ownership and Control	Besitz und Kontrolle
Paradox	Paradox
Parley	Verhandlung
Partner	Partner
Patrol	Patrouille
Per Investigator ([per_investigator])	Pro Ermittler
Peril	Wagnis
Permanent	Dauerhaft
Play	Spielen
Play Action	Spielen (Aktion)
Play Restrictions, Permissions, and Instructions	Spieleinschränkungen, Berechtigungen und Anweisungen
Poison	Gift
Power	Macht
Predator	Räuber
Prey	Beute
Printed	Aufgedruckt
Priority of Simultaneous Resolution	Priorität bei gleichzeitiger Abhandlung
Prologue Investigators	Ermittler für den Prolog
Put into Play	Ins Spiel bringen
Qualifiers	Adjektive
Reaction Opportunities	Reaktions-Möglichkeiten
Ready	Spielbereit
Record in your Campaign Log...	Im Kampagnenlogbuch wird notiert ...
Relic	Relikt
Remember that...	„Merke dir, dass ...“
Removed from Game	Aus dem Spiel entfernt
Replacing an Opening Hand	Starthand ersetzen
Researched	Erforscht
Resign	Aufgeben
Resource Action	Ressourcen (Aktion)
Resources	Ressourcen
Restricted	Eingeschränkt
Retaliate	Zurückschlagen
Revelation	Enthüllung
Row	Reihe
Royalty	Adel
Sanity and Horror	Geistige Gesundheit und Horror
Scheme	Komplott
Scholar	Gelehrter
Seal	Versiegeln
Search	Suchen
Self-Referential Text	Selbstreferenzieller Text
Serpent	Schlange
Set Aside	Beiseitelegen
Shadow	Schatten
Signature Cards	Signaturkarten
Skill Cards	Fertigkeitskarten
Skill Test Results and Advanced Timing	Ergebnisse von Fertigkeitsproben und erweitertes Timing
Skill Tests	Fertigkeitsproben
Slope	Abhang
Slots	Slots
Soldier	Soldat
Spawn	Erscheinen
Spell	Zauber
Spirit	Geist
Standalone Mode	Einzelspielszenario
Story Cards	Handlungskarten
Suggested Location Placement	Vorschlag für die Platzierung der Orte
Supplies	Vorräte
Surge	Nachrüsten
Swarming X	Ausschwärmen X
Switch and Swap Abilities	„Tauschen“- und „Austauschen“-Fähigkeiten
Table	Tisch
Taking Damage/Horror	Schaden/Horror nehmen
Talent	Talent
Target	Ziel
Tarot Slot	Tarotslot
Task	Aufgabe
Tekeli-li!	Tekeli-li!
Terror	Schrecken
The letter X	X (Buchstabe)
Then	Dann
Threat Area	Bedrohungszone
Tokens, Running out of	Marker, keine mehr übrig
Tome	Buch
Traits	Merkmale
Trauma	Trauma
Treachery Cards	Verratskarten
Triggered Abilities	Ausgelöste Fähigkeiten
Triggering Condition	Auslösebedingung
Tulgey Wood	Wirrwald
Unique ([unique])	Einzigartig (*)
Upkeep Phase	Unterhaltsphase
Uses (X type)	Anwendungen (X „Art“)
Vengeance X	Vergeltung X
Victory display	Siegpunktestapel
Victory Display, Victory Points	Siegpunkte, Siegpunktestapel
Weakness	Schwäche
Weapon	Waffe
Weather	Wetter
When	Sobald
Wild Skill Icons	Joker-Fertigkeitssymbol
Winning and Losing	Gewinnen und Verlieren
Wonderland	Wunderland
You/Your	Du/Dein
