Play Action	Spielen (Aktion)
Play Restrictions, Permissions, and Instructions	Spieleinschränkungen, Berechtigungen und Anweisungen
Prey	Beute
Printed	Aufgedruckt
Priority of Simultaneous Resolution	Priorität bei gleichzeitiger Abhandlung
Prologue Investigators	Ermittler für den Prolog
Put into Play	Ins Spiel bringen
Qualifiers	Adjektive
Reaction Opportunities	Reaktions-Möglichkeiten
Ready	Spielbereit
Record in your Campaign Log...	Im Kampagnenlogbuch wird notiert ...
Remember that...	„Merke dir, dass ...“
Removed from Game	Aus dem Spiel entfernt
Replacing an Opening Hand	Starthand ersetzen
Researched	Erforscht
Resign	Aufgeben
Resource Action	Ressourcen (Aktion)
Resources	Ressourcen
Retaliate	Zurückschlagen
Revelation	Enthüllung
Sanity and Horror	Geistige Gesundheit und Horror
Seal	Versiegeln
Search	Suchen
Self-Referential Text	Selbstreferenzieller Text
Set Aside	Beiseitelegen
Signature Cards	Signaturkarten
Skill Cards	Fertigkeitskarten
Skill Test Results and Advanced Timing	Ergebnisse von Fertigkeitsproben und erweitertes Timing
Skill Tests	Fertigkeitsproben
Slots	Slots
Spawn	Erscheinen
Standalone Mode	Einzelspielszenario
Story Cards	Handlungskarten
Supplies	Vorräte
Surge	Nachrüsten
Swarming X	Ausschwärmen X
Switch and Swap Abilities	„Tauschen“- und „Austauschen“-Fähigkeiten
Taking Damage/Horror	Schaden/Horror nehmen
Target	Ziel
Tarot Slot	Tarotslot
Tekeli-li!	Tekeli-li!
The letter X	X (Buchstabe)
Then	Dann
Threat Area	Bedrohungszone
Tokens, Running out of	Marker, keine mehr übrig
Traits	Merkmale
Trauma	Trauma
Treachery Cards	Verratskarten
Triggered Abilities	Ausgelöste Fähigkeiten
Triggering Condition	Auslösebedingung
Unique ([unique])	Einzigartig (*)
Upkeep Phase	Unterhaltsphase
Uses (X type)	Anwendungen (X „Art“)
Vengeance X	Vergeltung X
Victory Display, Victory Points	Siegpunkte, Siegpunktestapel
Weakness	Schwäche
When	Sobald
Wild Skill Icons	Joker-Fertigkeitssymbol
Winning and Losing	Gewinnen und Verlieren
You/Your	Du/Dein
